"","start_station_name","avg_start_lat","avg_start_lng","neighborhood"
"1","2112 W Peterson Ave",41.991178,-87.683593,"West Ridge"
"2","63rd St Beach",41.780910964248,-87.5763237476349,"Jackson Park"
"3","900 W Harrison St",41.8747558586759,-87.6498067755176,"Little Italy, UIC"
"4","Aberdeen St & Jackson Blvd",41.8777299784838,-87.6547837774528,"West Loop"
"5","Aberdeen St & Monroe St",41.8804202333748,-87.655517007039,"West Loop"
"6","Aberdeen St & Randolph St",41.8841137774813,-87.6542614632132,"West Loop"
"7","Ada St & 113th St",41.6875616233574,-87.6554757356644,"Morgan Park"
"8","Ada St & Washington Blvd",41.8828308056842,-87.6611970261765,"West Loop"
"9","Adler Planetarium",41.8660944856538,-87.6072692387648,"Museum Campus"
"10","Albany Ave & 26th St",41.8444845640838,-87.7019061179829,"Little Village"
"11","Albany Ave & Bloomingdale Ave",41.9140267483216,-87.7051264654077,"Logan Square"
"12","Albany Ave & Montrose Ave",41.961041,-87.705866,"Irving Park"
"13","Altgeld Gardens",41.6566655296737,-87.5988006591797,"Riverdale"
"14","Archer (Damen) Ave & 37th St",41.826712,-87.683144,"Mckinley Park"
"15","Artesian Ave & 71st St",41.7643440584286,-87.6844240085,"Chicago Lawn"
"16","Artesian Ave & Hubbard St",41.8895127059606,-87.6882050566258,"West Town"
"17","Artesian Ave & Marquette Rd",41.77203,-87.684637,"Chicago Lawn"
"18","Ashland Ave & 13th St",41.865234,-87.666507,"Little Italy, UIC"
"19","Ashland Ave & 50th St",41.803023,-87.664699,"New City"
"20","Ashland Ave & 63rd St",41.779374,-87.664843,"Englewood"
"21","Ashland Ave & 66th St",41.774074,-87.663815,"Englewood"
"22","Ashland Ave & 74th St",41.7592360242587,-87.6634740829468,"Englewood"
"23","Ashland Ave & 78th St",41.7522048494112,-87.663699388504,"Auburn Gresham"
"24","Ashland Ave & Archer Ave",41.8392086244865,-87.6656098294755,"Lower West Side"
"25","Ashland Ave & Augusta Blvd",41.8996320460227,-87.6676906535507,"East Village"
"26","Ashland Ave & Belle Plaine Ave",41.9560570291079,-87.6688350283223,"Lake View"
"27","Ashland Ave & Blackhawk St",41.9070611186597,-87.6672481251974,"West Town"
"28","Ashland Ave & Chicago Ave",41.8956850609819,-87.6676623637309,"West Town"
"29","Ashland Ave & Division St",41.9034471606775,-87.6677430878948,"Wicker Park"
"30","Ashland Ave & Garfield Blvd",41.792822,-87.664429,"Englewood"
"31","Ashland Ave & Grace St",41.9506861025379,-87.6687002407055,"Lake View"
"32","Ashland Ave & Grand Ave",41.8910730991561,-87.666600491399,"West Town"
"33","Ashland Ave & Lake St",41.8859192743841,-87.6671641961549,"United Center"
"34","Ashland Ave & McDowell Ave",41.80887,-87.66454,"New City"
"35","Ashland Ave & Pershing Rd",41.823465,-87.665577,"Mckinley Park"
"36","Ashland Ave & Wellington Ave",41.9360784883573,-87.6697980967804,"Lake View"
"37","Ashland Ave & Wrightwood Ave",41.9288283490931,-87.6685044418311,"Lincoln Park"
"38","Austin Blvd & Chicago Ave",41.894887,-87.774704,"Austin"
"39","Austin Blvd & Lake St",41.8879490922108,-87.7742768591429,"Austin"
"40","Austin Blvd & Madison St",41.880281,-87.774453,"Austin"
"41","Avenue O & 118th St",41.6810014591104,-87.5379312226869,"Hegewisch"
"42","Avenue O & 134th St",41.6518446596984,-87.5400160125962,"Hegewisch"
"43","Avers Ave & Belmont Ave",41.939408,-87.723574,"Avondale"
"44","Avondale Ave & Irving Park Rd",41.953393,-87.732002,"Irving Park"
"45","Baltimore Ave & 87th St",41.7373356004167,-87.5485146045685,"South Chicago"
"46","Bennett Ave & 79th St",41.751785,-87.578496,"South Shore"
"47","Bernard St & Elston Ave",41.949923,-87.713949,"Irving Park"
"48","Big Marsh Park",41.6858770556233,-87.573823928833,"South Deering"
"49","Bissell St & Armitage Ave ",41.918018,-87.652183,"Lincoln Park"
"50","Blackstone Ave & 59th St",41.7878770199745,-87.5904610434077,"Hyde Park"
"51","Blackstone Ave & Hyde Park Blvd",41.802562,-87.590368,"Kenwood"
"52","Blue Island Ave & 18th St",41.8575608520226,-87.6615325953269,"Lower West Side"
"53","Bosworth Ave & Howard St",42.019537,-87.669563,"Rogers Park"
"54","Bradley Park",41.717878301935,-87.5645917654037,"South Deering"
"55","Broadway & Argyle St",41.9738149787515,-87.6596600657654,"Uptown"
"56","Broadway & Barry Ave",41.9375801595526,-87.6440981871874,"Lake View"
"57","Broadway & Belmont Ave",41.9401010614488,-87.6454531425502,"Boystown"
"58","Broadway & Berwyn Ave",41.9783341022434,-87.6597674215822,"Edgewater"
"59","Broadway & Cornelia Ave",41.9455265506372,-87.6464423740193,"Boystown"
"60","Broadway & Granville Ave",41.9947796884,-87.6602845349,"Edgewater"
"61","Broadway & Ridge Ave",41.9840446343527,-87.6602738399278,"Edgewater"
"62","Broadway & Sheridan Rd",41.9528089422052,-87.6499925349116,"Lake View"
"63","Broadway & Thorndale Ave",41.98974251144,-87.6601406209,"Edgewater"
"64","Broadway & Waveland Ave",41.9490712013569,-87.6486368583717,"Boystown"
"65","Broadway & Wilson Ave",41.9652209955419,-87.658139052356,"Uptown"
"66","Buckingham - Fountain",41.876665,-87.620483,"Grant Park"
"67","Buckingham Fountain (Columbus/Balbo)",41.8731612869,-87.6219455871787,"Grant Park"
"68","Budlong Woods Library",41.983664693084,-87.6964225729177,"West Ridge"
"69","Burling St & Diversey Pkwy",41.9331399968492,-87.6477600028489,"Lake View"
"70","Burnham Greenway & 105th St",41.7045750872071,-87.5282317399979,"East Side"
"71","Burnham Greenway & 112th St",41.6917738511683,-87.5304311513901,"East Side"
"72","Burnham Harbor",41.8573295025926,-87.6137596179789,"Museum Campus"
"73","California Ave & 21st St",41.8537993739622,-87.6957534828448,"Little Village"
"74","California Ave & 23rd Pl",41.84910969176,-87.6951398068,"Little Village"
"75","California Ave & 26th St",41.8436799145765,-87.6949685811996,"Little Village"
"76","California Ave & 71st St",41.764748,-87.693121,"Chicago Lawn"
"77","California Ave & Altgeld St",41.92669,-87.697668,"Logan Square"
"78","California Ave & Byron St",41.95216219326,-87.698051113,"Irving Park"
"79","California Ave & Cortez St",41.9003567312176,-87.6966856758692,"Humboldt Park"
"80","California Ave & Division St",41.9030289996384,-87.6974739895991,"Humboldt Park"
"81","California Ave & Fletcher St",41.9384305280557,-87.6979981088622,"Avondale"
"82","California Ave & Francis Pl ",41.918489036228,-87.6974068532985,"Logan Square"
"83","California Ave & Granville Ave",41.9940278151719,-87.6993020962031,"West Ridge"
"84","California Ave & Lake St",41.88445395657,-87.6962981368,"Garfield Park"
"85","California Ave & Marquette Rd",41.771611,-87.693331,"Chicago Lawn"
"86","California Ave & Milwaukee Ave",41.9226950081364,-87.6971529958146,"Logan Square"
"87","California Ave & Montrose Ave",41.9610471283364,-87.6954270834773,"Irving Park"
"88","California Ave & North Ave",41.9104485412702,-87.6971928051269,"Humboldt Park"
"89","Calumet Ave & 18th St",41.8576409944565,-87.619475895627,"Near South Side"
"90","Calumet Ave & 21st St",41.8541910238784,-87.6191605428465,"Near South Side"
"91","Calumet Ave & 33rd St",41.8349036915724,-87.6179323345613,"Douglas"
"92","Calumet Ave & 35th St",41.8313790169875,-87.6180340148505,"Douglas"
"93","Calumet Ave & 51st St",41.80229465088,-87.6180535802,"Grand Boulevard"
"94","Calumet Ave & 71st St",41.76550800581,-87.616917925,"Grand Crossing"
"95","Calumet Park",41.7137098303562,-87.5308442115784,"East Side"
"96","Campbell Ave & Fullerton Ave",41.924632481027,-87.689307001671,"Logan Square"
"97","Campbell Ave & Montrose Ave ",41.9615251194154,-87.6912279608304,"Lincoln Square"
"98","Campbell Ave & North Ave",41.9105307681798,-87.6895495839204,"Wicker Park"
"99","Canal St & Adams St",41.8792553882557,-87.6399047648934,"West Loop"
"100","Canal St & Harrison St",41.8742600137705,-87.6395643677655,"West Loop"
"101","Canal St & Jackson Blvd",41.8772484551036,-87.6393661439905,"West Loop"
"102","Canal St & Madison St",41.8823059771691,-87.6397853852183,"West Loop"
"103","Canal St & Monroe St",41.881690674303,-87.6395332462229,"West Loop"
"104","Canal St & Taylor St",41.8702604044435,-87.6394690450903,"West Loop"
"105","Cannon Dr & Fullerton Ave",41.926754904635,-87.6344310572356,"Lincoln Park"
"106","Carpenter St & 63rd St",41.77987,-87.650919,"Englewood"
"107","Carpenter St & Huron St",41.8945493515379,-87.6534463322427,"West Town"
"108","Central Ave & Chicago Ave",41.894958,-87.764902,"Austin"
"109","Central Ave & Harrison St",41.872993,-87.764499,"Austin"
"110","Central Ave & Lake St",41.887664,-87.765469,"Austin"
"111","Central Ave & Madison St",41.880121,-87.763238,"Austin"
"112","Central Ave & Roscoe St",41.942275,-87.76695,"Portage Park"
"113","Central Park Ave & 24th St",41.8481,-87.715068,"Little Village"
"114","Central Park Ave & Bloomingdale Ave",41.9141660165292,-87.7167550342906,"Logan Square"
"115","Central Park Ave & Elbridge Ave",41.93533728263,-87.7168892935,"Avondale"
"116","Central Park Ave & North Ave",41.90965687563,-87.7166319516,"Humboldt Park"
"117","Central Park Ave & Ogden Ave",41.8540635038745,-87.7151173353195,"North Lawndale"
"118","Central Park Blvd & 5th Ave",41.875679,-87.71547,"Garfield Park"
"119","Central St & Girard Ave",42.064313,-87.686152,NA
"120","Central St Metra",42.063598,-87.69873,NA
"121","Cherry Ave & Blackhawk St",41.9072209886881,-87.6556180576688,"River North"
"122","Chicago Ave & Sheridan Rd",42.050491,-87.677821,NA
"123","Chicago Ave & Washington St",42.0325620140979,-87.6791010403887,NA
"124","Chicago State University",41.7189634216545,-87.6082956790924,"Roseland"
"125","Christiana Ave & Lawrence Ave",41.96835449363,-87.7118306675,"Albany Park"
"126","Cicero Ave & Flournoy St",41.872131,-87.746619,"Austin"
"127","Cicero Ave & Lake St",41.886841,-87.745261,"Austin"
"128","Cicero Ave & Quincy St",41.877613,-87.745405,"Austin"
"129","Cicero Ave & Roscoe Ave",41.942427,-87.747315,"Portage Park"
"130","Cityfront Plaza Dr & Pioneer Ct",41.8905724748854,-87.6220738492232,"Streeterville"
"131","Claremont Ave & Hirsch St",41.9077809832709,-87.6858540095729,"Wicker Park"
"132","Clarendon Ave & Gordon Ter",41.9578609441602,-87.64950642155,"Uptown"
"133","Clarendon Ave & Junior Ter",41.9609918924245,-87.6496030952276,"Uptown"
"134","Clarendon Ave & Leland Ave",41.9679679811703,-87.6500010404827,"Uptown"
"135","Clark St & 9th St (AMLI)",41.8708160112506,-87.6312459712945,"Loop"
"136","Clark St & Armitage Ave",41.9183038593218,-87.6362842363547,"Old Town"
"137","Clark St & Berwyn Ave",41.9780073958048,-87.6685463402204,"Andersonville"
"138","Clark St & Bryn Mawr Ave",41.9835930032918,-87.669154018034,"Edgewater"
"139","Clark St & Chicago Ave",41.8967497004889,-87.6308929902184,"Rush & Division"
"140","Clark St & Columbia Ave",42.0044506280976,-87.6724024120061,"Rogers Park"
"141","Clark St & Drummond Pl",41.9312435376614,-87.6443368994781,"Lincoln Park"
"142","Clark St & Elm St",41.9029721190632,-87.6312809304462,"Rush & Division"
"143","Clark St & Elmdale Ave",41.9908604481256,-87.6697236299515,"Edgewater"
"144","Clark St & Grace St",41.9507777503889,-87.6591715183072,"Wrigleyville"
"145","Clark St & Ida B Wells Dr",41.8759326655,-87.6305845355,"Loop"
"146","Clark St & Lake St",41.886020418227,-87.6308789982558,"Loop"
"147","Clark St & Leland Ave",41.9670849768368,-87.6673034820175,"Uptown"
"148","Clark St & Lincoln Ave",41.9156893616049,-87.6346022156553,"Old Town"
"149","Clark St & Lunt Ave",42.0090111805808,-87.6741117238998,"Rogers Park"
"150","Clark St & Montrose Ave",41.961576839616,-87.666028307473,"Lake View"
"151","Clark St & Newport St",41.9445373758856,-87.6546790965997,"Lake View"
"152","Clark St & North Ave",41.9119725779105,-87.6319443824066,"Lincoln Park"
"153","Clark St & Randolph St",41.8845759427904,-87.6318955968417,"Loop"
"154","Clark St & Schiller St",41.9079924093489,-87.6315026548497,"Gold Coast"
"155","Clark St & Schreiber Ave",41.9994461392228,-87.6709843625969,"Rogers Park"
"156","Clark St & Touhy Ave",42.01256011541,-87.6743671152,"Rogers Park"
"157","Clark St & Wellington Ave",41.9364919095825,-87.6475405451443,"Lake View"
"158","Clark St & Winnemac Ave",41.9733371371534,-87.667854748869,"Uptown"
"159","Clark St & Wrightwood Ave",41.9295440250537,-87.6431185149544,"Lincoln Park"
"160","Clifton Ave & Armitage Ave",41.9182170977386,-87.6569350168994,"Lincoln Park"
"161","Clinton St & 18th St",41.8579499793874,-87.6408260056123,"Lower West Side"
"162","Clinton St & Lake St",41.8856360051572,-87.6418261296168,"West Loop"
"163","Clinton St & Madison St",41.8825444751215,-87.6411426512189,"West Loop"
"164","Clinton St & Polk St",41.87146651779,-87.6409491327,"West Loop"
"165","Clinton St & Roosevelt Rd",41.8671177825,-87.6410879593,"West Loop"
"166","Clinton St & Tilden St",41.8758850093309,-87.6407949634715,"West Loop"
"167","Clinton St & Washington Blvd",41.8833801429872,-87.6411717596643,"West Loop"
"168","Clybourn Ave & Division St",41.9046084647706,-87.6405537619697,"Old Town"
"169","Clyde Ave & 87th St",41.7371514643106,-87.572740316391,"Avalon Park"
"170","Columbus Dr & Randolph St",41.8847278709271,-87.6195237012057,"Loop"
"171","Commercial Ave & 100th St",41.713317395477,-87.5510975718498,"South Deering"
"172","Commercial Ave & 130th St",41.6591504275977,-87.550762295723,"Hegewisch"
"173","Commercial Ave & 83rd St",41.744615,-87.551208,"South Chicago"
"174","Constance Ave & 95th St",41.7222907409526,-87.5789684057236,"South Deering"
"175","Cornell Ave & Hyde Park Blvd",41.8024060017802,-87.5869240006613,"Hyde Park"
"176","Cottage Grove Ave & 111th Pl",41.6917097584701,-87.6100015640259,"Pullman"
"177","Cottage Grove Ave & 111th St",42.048214,-87.683485,NA
"178","Cottage Grove Ave & 43rd St",41.816499,-87.606582,"Kenwood"
"179","Cottage Grove Ave & 47th St",41.809855,-87.606755,"Grand Boulevard"
"180","Cottage Grove Ave & 51st St",41.803038,-87.606615,"Grand Boulevard"
"181","Cottage Grove Ave & 63rd St",41.780545190125,-87.6059429748082,"Woodlawn"
"182","Cottage Grove Ave & 67th St",41.77372095205,-87.60563486,"Woodlawn"
"183","Cottage Grove Ave & 71st St",41.76571903697,-87.604959713,"Grand Crossing"
"184","Cottage Grove Ave & 83rd St",41.743441,-87.604836,"Chatham"
"185","Cottage Grove Ave & Oakwood Blvd",41.822985,-87.6071,"Grand Boulevard"
"186","Daley Center Plaza",41.8842405890955,-87.6296451371502,"Loop"
"187","Damen Ave & 51st St",41.800908,-87.674684,"New City"
"188","Damen Ave & 74th St",41.7592740393312,-87.6736342906952,"Englewood"
"189","Damen Ave & 81st St",41.746534,-87.673055,"Auburn Gresham"
"190","Damen Ave & 87th St",41.736044,-87.672861,"Auburn Gresham"
"191","Damen Ave & Charleston St",41.920075937665,-87.677850546205,"Bucktown"
"192","Damen Ave & Chicago Ave",41.8957688953881,-87.6772199385011,"West Town"
"193","Damen Ave & Clybourn Ave",41.931931,-87.677856,"Lincoln Park"
"194","Damen Ave & Cortland St",41.9159793278208,-87.6773177541958,"Bucktown"
"195","Damen Ave & Coulter St",41.8492,-87.67564,"Lower West Side"
"196","Damen Ave & Cullerton St",41.8549665187539,-87.6756995916366,"Lower West Side"
"197","Damen Ave & Division St",41.9032677965393,-87.6784318730605,"Wicker Park"
"198","Damen Ave & Foster Ave",41.97561480459,-87.6794590387,"Lincoln Square"
"199","Damen Ave & Grand Ave",41.892330000728,-87.676882728357,"West Town"
"200","Damen Ave & Leland Ave",41.967090223359,-87.6790266810956,"Lincoln Square"
"201","Damen Ave & Madison St",41.8813700919798,-87.6749300363375,"United Center"
"202","Damen Ave & Melrose Ave",41.9406006854178,-87.6784980864429,"North Center"
"203","Damen Ave & Pershing Rd",41.823192,-87.676597,"Mckinley Park"
"204","Damen Ave & Pierce Ave",41.9093950386853,-87.6776862474978,"Wicker Park"
"205","Damen Ave & Sunnyside Ave",41.96325,-87.679258,"Lincoln Square"
"206","Damen Ave & Thomas St (Augusta Blvd)",41.9013130783636,-87.6774058576386,"Ukrainian Village"
"207","Damen Ave & Walnut (Lake) St",41.8859509965946,-87.6770089985849,"United Center"
"208","Damen Ave & Wellington Ave",41.9358800093322,-87.6784200168313,"North Center"
"209","Damen Ave/Coulter St",41.8492,-87.67564,"Lower West Side"
"210","Dauphin Ave & 103rd St",41.7072503677818,-87.6076626777649,"Roseland"
"211","Dauphin Ave & 87th St",41.7365546569203,-87.6012572553093,"Chatham"
"212","Dayton St & North Ave",41.9105770607995,-87.6494236182967,"River North"
"213","Dearborn Pkwy & Delaware Pl",41.898966598171,-87.6299206550881,"Rush & Division"
"214","Dearborn St & Adams St",41.8793562462882,-87.6297910495568,"Loop"
"215","Dearborn St & Erie St",41.8939914374611,-87.629326562176,"River North"
"216","Dearborn St & Monroe St",41.8813230518384,-87.6295221900613,"Loop"
"217","Delano Ct & Roosevelt Rd",41.8674914527638,-87.632192463642,"Loop"
"218","Desplaines St & Jackson Blvd",41.878125474669,-87.6439535535734,"West Loop"
"219","Desplaines St & Kinzie St",41.8887145305323,-87.6444490459138,"West Town"
"220","Desplaines St & Randolph St",41.8844184669386,-87.6445011286835,"West Loop"
"221","Dodge Ave & Main St",42.0346318516159,-87.6991876959801,NA
"222","Dodge Ave & Mulford St",42.023463,-87.699595,NA
"223","Dorchester Ave & 49th St",41.805772,-87.592464,"Kenwood"
"224","Dorchester Ave & 63rd St",41.7804056457,-87.5914159893,"Woodlawn"
"225","Doty Ave & 111th St",41.6950104493814,-87.5987148284912,"Pullman"
"226","Drake Ave & Addison St",41.947326,-87.717582,"Irving Park"
"227","Drake Ave & Montrose Ave",41.961154060961,-87.7165691298631,"Albany Park"
"228","Drexel Ave & 60th St",41.7858609297262,-87.6045531229877,"Woodlawn"
"229","DuSable Lake Shore Dr & Belmont Ave",41.9407753217609,-87.6391959368591,"Lake View"
"230","DuSable Lake Shore Dr & Diversey Pkwy",41.9325856532176,-87.6364280464017,"Lincoln Park"
"231","DuSable Lake Shore Dr & Monroe St",41.8809565628497,-87.6167431553475,"Loop"
"232","DuSable Lake Shore Dr & North Blvd",41.9117196916041,-87.6268058014075,"Lincoln Park"
"233","DuSable Lake Shore Dr & Wellington Ave",41.9366855274773,-87.6368303103077,"Lake View"
"234","DuSable Museum",41.79156801058,-87.6078521774,"Washington Park"
"235","Dusable Harbor",41.8869758538185,-87.6128145394208,"Loop"
"236","East End Ave & 87th St",41.7368152144067,-87.5828012824059,"Calumet Heights"
"237","Eastlake Ter & Rogers Ave",42.0200105746888,-87.6646650273256,"Rogers Park"
"238","Eberhart Ave & 131st St",41.6584131511011,-87.6107108969882,"Riverdale"
"239","Eberhart Ave & 61st St",41.7840763745935,-87.614395269157,"Woodlawn"
"240","Eberhart Ave & 91st St",41.7292851572549,-87.6110315322876,"Chatham"
"241","Eckhart Park",41.896364815,-87.6609769002497,"West Town"
"242","Eggleston Ave & 92nd St",41.7275756592996,-87.6348280906677,"Washington Heights"
"243","Elizabeth St & 92nd St",41.7267989637012,-87.6542901992798,"Washington Heights"
"244","Elizabeth St & Fulton St",41.8866765174724,-87.6589779525713,"West Loop"
